,route_id,agency_id,route_short_name,route_long_name,route_type,service_id,trip_id,trip_headsign,direction_id,arrival_time,departure_time,stop_id,stop_sequence,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
3,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:27:00,06:27:00,5025,4,2620VE,Sardagna Civ.20,,46.073125,11.093579,2620.0
4,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:28:00,06:28:00,843,5,2620MS,Sardagna-Maso Scala,,46.069871,11.097749,2620.0
5,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:31:00,06:31:00,842,6,0001SA,Trento-Loc. S.Antonio,,46.069885,11.100439,1.0
6,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:33:00,06:33:00,3974,7,0001SN,Trento-Via Sardagna Civ. 104,,46.072035,11.099473,1.0
7,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:34:00,06:34:00,841,8,0001MP,Trento-Maso Pedrotti,,46.075559999999996,11.098222999999999,1.0
8,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:37:00,06:37:00,881,9,0001CR,Trento-Loc.Conotter,,46.07676,11.099989,1.0
9,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:39:00,06:39:00,723,10,0001BE,Trento-Via Brescia 4,,46.070701,11.112276,1.0
10,76,12,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3,22018091220190621,0002402742018091220190621,Trento-Autostaz.,0,06:41:00,06:41:00,1,11,0001,Trento-Autostaz.,,46.070785,11.118461,1.0
0,71,12,B201,Trento-Vezzano-Sarche-Tione,3,22018091220190621,0002391902018091220190621,Trento-Autostaz.,0,18:15:00,18:15:00,757,1,2290,Tione-Autostazione,,46.033132,10.726114,2290.0
1,71,12,B201,Trento-Vezzano-Sarche-Tione,3,22018091220190621,0002391902018091220190621,Trento-Autostaz.,0,18:17:00,18:17:00,746,2,2268LI,"Zuclo Ss237 ""Superm. Lidl""",,46.040152,10.748600999999999,2270.0
2,71,12,B201,Trento-Vezzano-Sarche-Tione,3,22018091220190621,0002391902018091220190621,Trento-Autostaz.,0,18:20:00,18:20:00,857,3,2260WR,Saone,,46.042536,10.766228,2240.0
3,71,12,B201,Trento-Vezzano-Sarche-Tione,3,22018091220190621,0002391902018091220190621,Trento-Autostaz.,0,18:32:00,18:32:00,742,4,2180,Ponte Arche-Autost.,,46.035587,10.873617,2180.0
4,71,12,B201,Trento-Vezzano-Sarche-Tione,3,22018091220190621,0002391902018091220190621,Trento-Autostaz.,0,18:45:00,18:45:00,870,5,2120RR,Sarche-Centro Comm.,,46.046442,10.952107,2120.0
5,71,12,B201,Trento-Vezzano-Sarche-Tione,3,22018091220190621,0002391902018091220190621,Trento-Autostaz.,0,19:10:00,19:10:00,1,6,0001,Trento-Autostaz.,,46.070785,11.118461,1.0
0,110,12,B301,Trento-Besenello-Calliano-Rovereto,3,62018101720190621,0002459172018101720190621,Rovereto-Via Manzoni,0,17:35:00,17:35:00,1,1,0001,Trento-Autostaz.,,46.070785,11.118461,1.0
1,110,12,B301,Trento-Besenello-Calliano-Rovereto,3,62018101720190621,0002459172018101720190621,Rovereto-Via Manzoni,0,17:40:00,17:40:00,1108,2,0001NO,Trento-C.So Tre Novembre,,46.062416,11.123713,1.0
2,110,12,B301,Trento-Besenello-Calliano-Rovereto,3,62018101720190621,0002459172018101720190621,Rovereto-Via Manzoni,0,17:44:00,17:44:00,1109,3,0001VV,Trento-Viale Verona,,46.056531,11.128456,1.0
1,320,12,B217,Tione - Tione Ospedale Civile,3,22018091220190621,0002351812018091220190621,Tione-Autostazione,0,10:13:00,10:13:00,829,2,2290CR,Tione-Via Circonvallaz.,,46.040014,10.727518,2290.0
2,320,12,B217,Tione - Tione Ospedale Civile,3,22018091220190621,0002351812018091220190621,Tione-Autostazione,0,10:13:00,10:13:00,3213,3,2290SM,Tione-Via Circonvallazione 65,,46.036584000000005,10.72816,2290.0
3,320,12,B217,Tione - Tione Ospedale Civile,3,22018091220190621,0002351812018091220190621,Tione-Autostazione,0,10:15:00,10:15:00,757,4,2290,Tione-Autostazione,,46.033132,10.726114,2290.0
8,153,12,B211,Riva del G.-Tenno-Fiave'-Ponte Arche,3,22018091220190621,0002341612018091220190621,Ponte Arche-Autost.,0,06:28:00,06:28:00,1556,9,2181RR,Campo Lomaso,,46.02368,10.865724,2181.0
9,153,12,B211,Riva del G.-Tenno-Fiave'-Ponte Arche,3,22018091220190621,0002341612018091220190621,Ponte Arche-Autost.,0,06:29:00,06:29:00,4392,10,2181IP,Campo Lomaso-Inizio Paese,,46.027169,10.868018,2181.0
10,153,12,B211,Riva del G.-Tenno-Fiave'-Ponte Arche,3,22018091220190621,0002341612018091220190621,Ponte Arche-Autost.,0,06:30:00,06:30:00,4391,11,2180CC,Ponte Arche-Via Ballino,,46.031286,10.868637,2180.0
11,153,12,B211,Riva del G.-Tenno-Fiave'-Ponte Arche,3,22018091220190621,0002341612018091220190621,Ponte Arche-Autost.,0,06:32:00,06:32:00,4390,12,2180VP,Ponte Arche-Via Prati 8,,46.033789,10.870138,2180.0
12,153,12,B211,Riva del G.-Tenno-Fiave'-Ponte Arche,3,22018091220190621,0002341612018091220190621,Ponte Arche-Autost.,0,06:33:00,06:33:00,742,13,2180,Ponte Arche-Autost.,,46.035587,10.873617,2180.0
