movie_id,name en,name it,first_release,actors
Q116187,Thieves and Robbers,Cane e gatto,1983,Bud Spencer
Q180638,Odds and Evens,Pari e dispari,1978,Bud Spencer and Terence Hill
Q231967,A Friend Is a Treasure,"Chi trova un amico, trova un tesoro",1981,Bud Spencer and Terence Hill
Q232044,"All the Way, Boys",...più forte ragazzi!,1972,Bud Spencer and Terence Hill
Q232083,Two Missionaries,Porgi l'altra guancia,1974,Bud Spencer and Terence Hill
Q232166,Crime Busters,I due superpiedi quasi piatti,1977,Bud Spencer and Terence Hill
Q232175,Go for It,Nati con la camicia,1983,Bud Spencer and Terence Hill
Q232261,"Watch Out, We're Mad!",...altrimenti ci arrabbiamo!,1974,Bud Spencer and Terence Hill
Q250628,Mr. Billion,Mister Miliardo,1977,Terence Hill
Q256901,The Man who Dreamt with Eagles,L'uomo che sognava con le aquile,2005,Terence Hill
Q316151,Old Surehand,Surehand - Mano veloce,1965,Terence Hill
Q324529,Beyond the Law,Al di là della legge,1968,Bud Spencer
Q467379,They Call Me Renegade,Renegade - Un osso troppo duro,1987,Terence Hill
Q471775,The Wind's Fierce,La collera del vento,1970,Terence Hill
Q473803,Lo chiamavano Bulldozer,Lo chiamavano Bulldozer,1978,Bud Spencer
Q473829,Troublemakers,Botte di Natale,1994,Bud Spencer and Terence Hill
Q521876,Last of the Renegades,Giorni di fuoco,1964,Terence Hill
Q521907,"A Genius, Two Partners and a Dupe","Un genio, due compari, un pollo",1975,Terence Hill
Q548277,Charleston,Charleston,1977,Bud Spencer
Q555722,Boot Hill,La collina degli stivali,1969,Bud Spencer and Terence Hill
Q558927,Superfantagenio,Superfantagenio,1986,Bud Spencer
Q587854,Flatfoot in Egypt,Piedone d'Egitto,1980,Bud Spencer
Q589001,Trinity Is Still My Name,...continuavano a chiamarlo Trinità,1971,Bud Spencer and Terence Hill
Q596199,Banana Joe,Banana Joe,1982,Bud Spencer
Q596623,The Leopard,Il Gattopardo,1963,Terence Hill
Q597579,Double Trouble,Non c'è due senza quattro,1984,Bud Spencer and Terence Hill
Q598709,They Call Me Trinity,Lo chiamavano Trinità...,1970,Bud Spencer and Terence Hill
Q622201,Four Flies on Grey Velvet,4 mosche di velluto grigio,1971,Bud Spencer
Q638356,"A Reason to Live, a Reason to Die",Una ragione per vivere e una per morire,1972,Bud Spencer
Q668928,The Sheriff and the Satellite Kid,Uno sceriffo extraterrestre... poco extra e molto terrestre,1979,Bud Spencer
Q694040,Flatfoot in Africa,Piedone l'africano,1978,Bud Spencer
Q736144,Man of the East,...E poi lo chiamarono il Magnifico,1972,Terence Hill
Q751099,Lucky Luke,Lucky Luke,1991,Terence Hill
Q758591,Even Angels Eat Beans,Anche gli angeli mangiano fagioli,1973,Bud Spencer
Q780835,Buddy Goes West,Occhio alla penna,1981,Bud Spencer
Q785492,Rampage at Apache Wells,Danza di guerra per Ringo,1965,Terence Hill
Q822995,Duel at Sundown,Sparate a vista su Killer Kid,1965,Terence Hill
Q825322,Black Turin,Torino nera,1972,Bud Spencer
Q826950,Mord ist mein Geschäft,"Tesoro, sono un killer",2009,Bud Spencer
Q840565,Preparati la bara!,Preparati la bara!,1967,Terence Hill
Q841882,Flatfoot in Hong Kong,Piedone a Hong Kong,1975,Bud Spencer
Q841887,Piedone lo sbirro,Piedone lo sbirro,1973,Bud Spencer
Q848252,Ace High,I quattro dell'Ave Maria,1968,Bud Spencer and Terence Hill
Q850096,Why Did You Pick On Me?,Chissà perché... capitano tutte a me,1980,Bud Spencer
Q850155,Il soldato di ventura,Il soldato di ventura,1975,Bud Spencer
Q882468,Rita of the West,Little Rita nel West,1967,Terence Hill
Q895543,Among Vultures,Là dove scende il sole,1964,Terence Hill
Q908533,The World of Don Camillo,Don Camillo,1983,Terence Hill
Q910695,March or Die,La bandera - Marcia o muori,1977,Terence Hill
Q917322,Speaking of the Devil,Un piede in paradiso,1990,Bud Spencer
Q937303,The Wonders of Aladdin,Le meraviglie di Aladino,1961,Terence Hill
Q938137,Quo Vadis,Quo vadis,1951,Bud Spencer
Q942657,Miami Supercops,Miami Supercops (I poliziotti dell'8ª strada),1985,Bud Spencer and Terence Hill
Q943961,Blackie the Pirate,Il corsaro nero,1971,Bud Spencer and Terence Hill
Q964009,My Name is Nobody,Il mio nome è Nessuno,1973,Terence Hill
Q970386,Io sto con gli ippopotami,Io sto con gli ippopotami,1979,Bud Spencer and Terence Hill
Q1062054,Super Fuzz,Poliziotto superpiù,1980,Terence Hill
Q1070548,God Forgives... I Don't!,Dio perdona... io no!,1967,Bud Spencer and Terence Hill
Q1131511,The Five Man Army,Un esercito di 5 uomini,1969,Bud Spencer
Q1163902,Vacanze col gangster,Vacanze col gangster,1951,Bud Spencer and Terence Hill
Q1192601,Bomber,Bomber,1982,Bud Spencer
Q1295110,Oggi a me... domani a te!,Oggi a me... domani a te!,1968,Bud Spencer
Q1571469,It Can Be Done Amigo,Si può fare... amigo,1971,Bud Spencer
Q1576167,Hannibal,Annibale,1959,Bud Spencer and Terence Hill
Q1629592,A Farewell to Arms,Addio alle armi,1957,Bud Spencer
Q1747484,The Fifth Day of Peace,Gott mit uns (Dio è con noi),1969,Bud Spencer
Q2046014,Father Hope,Padre Speranza,2001,Bud Spencer
Q3053517,Singing Behind Screens,Cantando dietro i paraventi,2003,Bud Spencer
Q3546248,To the Limit,Al limite,1997,Bud Spencer
Q3744742,Hijos del viento,Figli del vento,2000,Bud Spencer
Q3754630,Fireworks,Fuochi d'artificio,1997,Bud Spencer
Q3819870,L'ultimo gattopardo: Ritratto di Goffredo Lombardo,L'ultimo gattopardo - Ritratto di Goffredo Lombardo,2010,Bud Spencer
Q3927581,Quel fantasma di mio marito,Quel fantasma di mio marito,1950,Bud Spencer
Q3960575,Siluri umani,Siluri umani,1954,Bud Spencer
Q4003806,A Hero of Our Times,Un eroe dei nostri tempi,1955,Bud Spencer
Q4004077,"Un sorriso, uno schiaffo, un bacio in bocca","Un sorriso, uno schiaffo, un bacio in bocca",1976,Bud Spencer and Terence Hill
Q16695037,Extralarge: Black Magic,,1992,Bud Spencer
Q27590220,Mamma's Boy,Il cocco di mamma,1957,Bud Spencer
Q30807542,Extralarge: Moving Target,Detective Extralarge: Bersaglio mobile,1992,Bud Spencer
Q30809518,Extralarge: Indians,,1993,Bud Spencer
Q32999881,They called him Bulldozer,,2017,Bud Spencer and Terence Hill
Q1198395,Barbagia,Barbagia,1969,Terence Hill
Q1215151,Die Nibelungen,,1966,Terence Hill
Q1233715,Doc West,Doc West,2009,Terence Hill
Q1255585,Call of the Forest,Il magnifico emigrante,1965,Terence Hill
Q1351744,Un passo dal cielo,Un passo dal cielo,2011,Terence Hill
Q1420968,The Hassled Hooker,Il vero e il falso,1972,Terence Hill
Q1423362,McCabe & Mrs. Miller,I compari,1971,Terence Hill
Q1497343,Shots in Threequarter Time,Operazione terzo uomo,1965,Terence Hill
Q1788153,The Sword and the Cross,La spada e la croce,1958,Terence Hill
Q2527933,Virtual Weapon,Potenza virtuale,1997,Terence Hill
Q2940586,Carthage in Flames,Cartagine in fiamme,1959,Terence Hill
Q3108858,The Abandoned,Gli sbandati,1955,Terence Hill
Q3203227,The Story of Joseph and His Brethren,Giuseppe venduto dai fratelli,1960,Terence Hill
Q3213477,Golden Vein,La vena d'oro,1955,Terence Hill
Q3223684,The Shortest Day,Il giorno più corto,1963,Terence Hill
Q3224443,Il padrone delle ferriere,Il padrone delle ferriere,1959,Terence Hill
Q3282673,Il viale della speranza,Il viale della speranza,1953,Terence Hill
Q3283372,Seven Seas to Calais,Il dominatore dei 7 mari,1962,Terence Hill
Q3547086,Anna of Brooklyn,Anna di Brooklyn,1958,Terence Hill
Q3664985,Cerasella,Cerasella,1959,Terence Hill
Q3712040,Folgore Division,Divisione Folgore,1954,Terence Hill
Q3778078,,Guaglione,1956,Terence Hill
Q3791384,,I vagabondi delle stelle,1956,Terence Hill
Q3801189,"Io non protesto, io amo","Io non protesto, io amo",1967,Terence Hill
Q3811039,Juke box - Urli d'amore,"Juke-box, urli d'amore",1959,Terence Hill
Q3822300,The Crazy Kids of the War,La feldmarescialla,1967,Terence Hill
Q3822655,La grande strada azzurra,La grande strada azzurra,1957,Terence Hill
Q3828227,Lazzarella,Lazzarella,1957,Terence Hill
Q3844156,,Mamma sconosciuta,1956,Terence Hill
Q3921867,First Love,Primo amore,1959,Terence Hill
Q3998121,Three Days of Anarchy,Tre giorni d'anarchia,2004,Terence Hill
Q4003928,Un militare e mezzo,Un militare e mezzo,1960,Terence Hill
Q4011833,It Happened in the Park,Villa Borghese,1953,Terence Hill
Q7158603,Pecado de amor,,1961,Terence Hill
Q7939569,Voice of Silence,La voce del silenzio,1953,Terence Hill
Q15857347,Triggerman,,2009,Terence Hill
Q20004776,Too Young for Love,L'età dell'amore,1953,Terence Hill
Q28064472,Org,Org,1979,Terence Hill
Q30889321,My Name Is Thomas,La chiamavano Maryam,2018,Terence Hill
